jis_code	url	system_type
06211	https://www.city.higashine.yamagata.jp/administration/reiki/	独自
06212	https://city.obanazawa.netj.jp/reiki_taikei/taikei_default.html	taikei
06213	https://www1.g-reiki.net/nanyo/reiki_menu.html	g-reiki
06301	https://www.town.yamanobe.yamagata.jp/reiki/reiki.html	reiki.html
06302	https://www.town.nakayama.yamagata.jp/section/reiki/reiki_menu.html	taikei
06321	https://en3-jg.d1-law.com/kahoku/d1w_reiki/reiki.html	d1-law
06322	https://www1.g-reiki.net/town.nishikawa.yamagata/reiki_menu.html	g-reiki
06323	https://www.town.asahi.yamagata.jp/section/d1w_reiki/reiki.html	d1-law
06324	https://www1.g-reiki.net/town.oe.yamagata/reiki_menu.html	g-reiki
06341	https://www1.g-reiki.net/town.oishida.yamagata/reiki_menu.html	g-reiki
06361	https://www.town.kaneyama.yamagata.jp/section/reiki_int/reiki_menu.html	taikei
06362	https://town.mogami.lg.jp/data/reiki/reiki_taikei/taikei_default.html	taikei
06363	https://www1.g-reiki.net/funagata/reiki_menu.html	g-reiki
